Program,buy_date,cohort_start_date,cohort_name,days_to_start,month_sale,month_start
FS,31/05/2023,24/07/2023,spain-fs-pt-47,54,5,7
FS,29/05/2023,24/07/2023,spain-fs-pt-47,56,5,7
FS,29/08/2023,11/09/2023,spain-fs-pt-49,13,8,9
FS,24/08/2023,11/09/2023,spain-fs-pt-49,18,8,9
FS,23/08/2023,11/09/2023,spain-fs-pt-49,19,8,9
FS,22/08/2023,11/09/2023,spain-fs-pt-49,20,8,9
FS,8/08/2023,11/09/2023,spain-fs-pt-48,34,8,9
,,,,,,
FS,4/08/2023,11/09/2023,spain-fs-pt-48,38,8,9
FS,31/07/2023,11/09/2023,spain-fs-pt-48,42,7,9
FS,21/07/2023,11/09/2023,spain-fs-pt-48,52,7,9
,,,,,,
FS,19/07/2023,11/09/2023,spain-fs-pt-48,54,7,9
FS,14/07/2023,11/09/2023,spain-fs-pt-48,59,7,9
FS,10/07/2023,11/09/2023,spain-fs-pt-49,63,7,9
FS,10/07/2023,11/09/2023,spain-fs-pt-49,63,7,9
FS,10/07/2023,11/09/2023,spain-fs-pt-49,63,7,9
FS,27/06/2023,11/09/2023,spain-fs-pt-49,76,6,9
,,,,,,
FS,27/06/2023,11/09/2023,spain-fs-pt-48,76,6,9
FS,20/06/2023,11/09/2023,spain-fs-pt-49,83,6,9
FS,31/05/2023,11/09/2023,spain-fs-pt-48,103,5,9
FS,26/05/2023,11/09/2023,spain-fs-pt-48,108,5,9
FS,4/05/2023,11/09/2023,spain-fs-pt-49,130,5,9
FS,31/03/2023,11/09/2023,spain-fs-pt-48,164,3,9
FS,23/02/2023,11/09/2023,spain-fs-pt-49,200,2,9
,,,,,,
FS,22/02/2023,11/09/2023,spain-fs-pt-49,201,2,9
DS,4/09/2023,18/09/2023,spain-ds-pt-2,14,9,9
DS,14/06/2023,18/09/2023,spain-ds-pt-2,96,6,9
DS,13/06/2023,18/09/2023,spain-ds-pt-2,97,6,9
DS,13/06/2023,18/09/2023,spain-ds-pt-2,97,6,9
DS,13/06/2023,18/09/2023,spain-ds-pt-2,97,6,9
DS,13/06/2023,18/09/2023,spain-ds-pt-2,97,6,9
DS,31/05/2023,18/09/2023,spain-ds-pt-2,110,5,9
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DS,26/05/2023,18/09/2023,spain-ds-pt-2,115,5,9
DS,19/05/2023,18/09/2023,spain-ds-pt-2,122,5,9
DS,19/05/2023,18/09/2023,spain-ds-pt-2,122,5,9
DS,20/04/2023,18/09/2023,spain-ds-pt-2,151,4,9
DS,31/03/2023,18/09/2023,spain-ds-pt-2,171,3,9
FS,22/08/2023,25/09/2023,spain-fs-pt-50,34,8,9
FS,15/08/2023,25/09/2023,spain-fs-pt-50,41,8,9
FS,10/08/2023,25/09/2023,spain-fs-pt-50,46,8,9
FS,9/08/2023,25/09/2023,spain-fs-pt-50,47,8,9
FS,3/08/2023,25/09/2023,spain-fs-pt-50,53,8,9
FS,31/07/2023,25/09/2023,spain-fs-pt-50,56,7,9
FS,28/07/2023,25/09/2023,spain-fs-pt-50,59,7,9
FS,25/07/2023,25/09/2023,spain-fs-pt-50,62,7,9
FS,24/07/2023,25/09/2023,spain-fs-pt-50,63,7,9
FS,24/07/2023,25/09/2023,spain-fs-pt-50,63,7,9
,,,,,,
FS,11/04/2023,25/09/2023,spain-fs-pt-50,167,4,9
FS,15/03/2023,25/09/2023,spain-fs-pt-50,194,3,9
DS,30/08/2023,2/10/2023,spain-ds-pt-3,33,8,10
DS,17/08/2023,2/10/2023,spain-ds-pt-3,46,8,10
DS,31/07/2023,2/10/2023,spain-ds-pt-3,63,7,10
DS,20/07/2023,2/10/2023,spain-ds-pt-3,74,7,10
DS,20/07/2023,2/10/2023,spain-ds-pt-3,74,7,10
DS,20/07/2023,2/10/2023,spain-ds-pt-3,74,7,10
DS,17/07/2023,2/10/2023,spain-ds-pt-3,77,7,10
DS,7/07/2023,2/10/2023,spain-ds-pt-3,87,7,10
DS,5/07/2023,2/10/2023,spain-ds-pt-3,89,7,10
DS,4/07/2023,2/10/2023,spain-ds-pt-3,90,7,10
DS,20/06/2023,2/10/2023,spain-ds-pt-3,104,6,10
FS,25/09/2023,16/10/2023,spain-fs-pt-51,21,9,10
,,,,,,
FS,22/09/2023,16/10/2023,spain-fs-pt-51,24,9,10
FS,14/09/2023,16/10/2023,spain-fs-pt-51,32,9,10
FS,13/09/2023,16/10/2023,spain-fs-pt-51,33,9,10
FS,11/09/2023,16/10/2023,spain-fs-pt-51,35,9,10
,,,,,,
FS,4/09/2023,16/10/2023,spain-fs-pt-51,42,9,10
FS,1/09/2023,16/10/2023,spain-fs-pt-51,45,9,10
FS,31/08/2023,16/10/2023,spain-fs-pt-51,46,8,10
FS,30/08/2023,16/10/2023,spain-fs-pt-51,47,8,10
FS,28/08/2023,16/10/2023,spain-fs-pt-51,49,8,10
FS,24/08/2023,16/10/2023,spain-fs-pt-51,53,8,10
FS,24/08/2023,16/10/2023,spain-fs-pt-51,53,8,10
FS,21/08/2023,16/10/2023,spain-fs-pt-51,56,8,10
FS,9/10/2023,23/10/2023,spain-fs-pt-52,14,10,10
FS,2/10/2023,23/10/2023,spain-fs-pt-52,21,10,10
FS,10/09/2023,23/10/2023,spain-fs-pt-52,43,9,10
FS,7/09/2023,23/10/2023,spain-fs-pt-52,46,9,10
FS,31/08/2023,23/10/2023,spain-fs-pt-52,53,8,10
FS,9/08/2023,23/10/2023,spain-fs-pt-52,75,8,10
FS,28/07/2023,23/10/2023,spain-fs-pt-52,87,7,10
FS,18/07/2023,23/10/2023,spain-fs-pt-52,97,7,10
FS,14/07/2023,23/10/2023,spain-fs-pt-52,101,7,10
FS,13/07/2023,23/10/2023,spain-fs-pt-52,102,7,10
FS,30/06/2023,23/10/2023,spain-fs-pt-52,115,6,10
FS,20/09/2023,6/11/2023,spain-fs-pt-53,47,9,11
FS,18/09/2023,6/11/2023,spain-fs-pt-53,49,9,11
